  >=           <         Number
-infinity   1.00000e-06  0
1.00000e-06   2.00000e-06     0
2.00000e-06   4.00000e-06     0
4.00000e-06   8.00000e-06     0
8.00000e-06   1.60000e-05     0
1.60000e-05   3.20000e-05     236882
3.20000e-05   6.40000e-05     3354
6.40000e-05   0.000128000     28
0.000128000   0.000256000     7
0.000256000   0.000512000     2
0.000512000   0.00102400     1
0.00102400   0.00204800     1
0.00204800   0.00409600     0
0.00409600   0.00819200     1
0.00819200   0.0163840     0
0.0327680   +infinity    0
lowVal 2.42730e-05, avgVal 2.49712e-05, highVal 0.00508459 
