  >=           <         Number
-infinity   1.00000e-06  0
1.00000e-06   2.00000e-06     0
2.00000e-06   4.00000e-06     0
4.00000e-06   8.00000e-06     553119
8.00000e-06   1.60000e-05     6173
1.60000e-05   3.20000e-05     1365
3.20000e-05   6.40000e-05     56
6.40000e-05   0.000128000     9
0.000128000   0.000256000     14
0.000256000   0.000512000     5
0.000512000   0.00102400     5
0.00102400   0.00204800     1
0.00204800   0.00409600     1
0.00409600   0.00819200     0
0.00819200   0.0163840     0
0.0327680   +infinity    0
lowVal 6.82800e-06, avgVal 7.13331e-06, highVal 0.00368896 
