  >=           <         Number
-infinity   1.00000e-06  0
1.00000e-06   2.00000e-06     367435
4.00000e-06   8.00000e-06     1834530
8.00000e-06   1.60000e-05     532
1.60000e-05   3.20000e-05     5825
3.20000e-05   6.40000e-05     1285
6.40000e-05   0.000128000     474
0.000128000   0.000256000     109
0.000256000   0.000512000     28
0.000512000   0.00102400     7
0.00102400   0.00204800     3
0.00204800   0.00409600     1
0.00409600   0.00819200     0
0.00819200   0.0163840     1
0.0163840   0.0327680     0
0.0327680   +infinity    0
lowVal 1.67619e-06, avgVal 2.25515e-06, highVal 0.00413572 
