  >=           <         Number
-infinity   1.00000e-06  0
1.00000e-06   2.00000e-06     0
2.00000e-06   4.00000e-06     0
4.00000e-06   8.00000e-06     0
8.00000e-06   1.60000e-05     0
1.60000e-05   3.20000e-05     334780
3.20000e-05   6.40000e-05     496
6.40000e-05   0.000128000     14
0.000128000   0.000256000     10
0.000256000   0.000512000     8
0.000512000   0.00102400     5
0.00102400   0.00204800     3
0.00204800   0.00409600     0
0.00409600   0.00819200     1
0.00819200   0.0163840     0
0.0327680   +infinity    0
lowVal 1.73960e-05, avgVal 1.78935e-05, highVal 0.00511243 
