  >=           <         Number
-infinity   1.00000e-06  0
1.00000e-06   2.00000e-06     577405
4.00000e-06   8.00000e-06     1668359
8.00000e-06   1.60000e-05     567
1.60000e-05   3.20000e-05     1793
3.20000e-05   6.40000e-05     1248
6.40000e-05   0.000128000     387
0.000128000   0.000256000     112
0.000256000   0.000512000     29
0.000512000   0.00102400     13
0.00102400   0.00204800     5
0.00204800   0.00409600     0
0.00409600   0.00819200     1
0.00819200   0.0163840     0
0.0163840   0.0327680     0
0.0327680   +infinity    0
lowVal 1.67619e-06, avgVal 2.21607e-06, highVal 0.00265313 
